RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
1062,070003160,115,ALDERMAN RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1958,6,3,1,1,0,266,0,Partial Basement,Brick Veneer,1.00,2168
1063,070003170,113,ALDERMAN RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1958,8,4,0,2,0,,,No Basement,Brick Veneer,1.50,2190
1064,070003180,111,ALDERMAN RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1971,7,4,0,2,0,2010,,Full Basement,Brick Veneer,1.00,2010
1065,070003200,2117,MORRIS RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,3,1957,9,3,0,3,0,1718,859,Partial Basement,Brick Veneer,1.00,2489
1066,070003300,2115,MORRIS RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1957,9,3,1,2,0,1611,1216,Full Basement,Brick Veneer,1.00,1611
1067,070003400,2113,MORRIS RD,,Single Family,Split-Level,B,Shingles,Hardwood,Hot Water Radiator,2,1957,6,3,1,2,0,0,0,No Basement,Brick Veneer,2.00,2352
1068,070003500,2111,MORRIS RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1960,9,4,0,3,0,1234,740,Full Basement,Brick Veneer,2.00,2314
1069,070003600,2109,MORRIS RD,,Single Family-1 Conversion,2 Story,B,Shingles,Hardwood,Hot Water Radiator,3,1958,11,5,1,4,0,1742,513,Full Basement,Brick Veneer,2.00,2983
1070,070003700,2107,MORRIS RD,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,1,1961,11,4,1,3,0,1412,1412,Full Basement,Brick Veneer,2.00,2824
1071,070003800,2105,MORRIS RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1971,7,3,0,2,0,1820,0,Full Basement,Brick Veneer,1.00,1820
1072,070003900,2103,MORRIS RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1958,9,3,1,2,2,880,836,Full Basement,Brick Veneer,2.00,1930
1073,070004000,2100,TWYMAN RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1955,5,2,0,3,0,1421,831,Full Basement,Brick Veneer,1.00,1421
1074,070005000,2104,TWYMAN RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1955,8,4,0,2,0,1800,0,Full Basement,Brick Veneer,1.00,2030
1075,070006000,2108,TWYMAN RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1955,5,2,1,1,0,868,529,Partial Basement,Brick Veneer,1.00,1250
1076,070007000,2112,TWYMAN RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1956,6,3,0,3,0,2090,1672,Full Basement,Brick Veneer,1.00,2090
1077,070008000,2116,TWYMAN RD,,Single Family,1 Story,B +,Architectural Shingles,Hardwood,Forced Air,2,1956,8,4,No dat,3,0,1162,1162,Partial Basement,Brick Veneer,1.00,1852
1078,070009000,2115,MINOR RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1955,7,3,0,3,0,1018,681,Partial Basement,Brick Veneer,1.00,2903
1079,070010000,2111,MINOR RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1953,8,4,0,4,0,1588,741,Full Basement,Brick Veneer,1.50,2382
1080,070011000,2107,MINOR RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1961,10,5,0,5,0,1683,1583,Full Basement,Brick Veneer,1.00,1900
1081,070012000,211,ALDERMAN RD,,Single Family-1 Conversion,2 Story,A -,Architectural Shingles,Hardwood,Hot Water Radiator,1,1947,9,4,1,3,1,1270,932,Partial Basement,Brick Veneer,2.25,2669
1082,070013000,118,ALDERMAN RD,,Single Family,Split-Level,B,Shingles,Hardwood,Hot Water Radiator,1,1961,8,4,1,2,0,694,0,Partial Basement,Wood,2.00,2301
1083,070014000,200,ALDERMAN RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1958,5,2,0,2,0,804,804,Partial Basement,Wood,1.00,1503
1084,070015000,206,ALDERMAN RD,,Single Family-1 Conversion,2 Story,B +,Architectural Shingles,Hardwood,Forced Air,2,1984,12,5,1,5,0,1312,1312,Full Basement,Masonite,2.00,2336
1085,070016000,212,ALDERMAN RD,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,2,1959,9,5,0,4,0,639,548,Partial Basement,Brick Veneer,2.00,2465
1086,070017000,2027,MINOR RD,,Single Family-1 Conversion,2 Story,A,Shingles,Hardwood,Heat Pump,3,1927,7,1,1,3,0,378,0,Partial Basement,Stone,2.00,4845
1087,070018000,120,MINOR RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1945,6,3,0,3,0,713,386,Partial Basement,Brick Veneer,1.50,1298
1088,070019000,145,BOLLINGWOOD RD,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Hot Water Radiator,1,1939,7,3,0,2,0,,,No Basement,Clapboard,1.75,1634
1089,070020000,135,BOLLINGWOOD RD,,Single Family,2 Story,B,Metal,Hardwood,Hot Water Radiator,1,1932,7,3,0,2,0,135,,Partial Basement,Brick Veneer,2.00,2486
1090,070021000,133,BOLLINGWOOD RD,,Single Family-1 Conversion,2 Story,B,Shingles,Hardwood,Hot Water Radiator,3,1918,8,4,0,3,0,1132,0,Partial Basement,Brick Veneer,2.00,2761
1091,070022000,123,BOLLINGWOOD RD,,Single Family,2 Story,A,Metal,Hardwood,Hot Water Radiator,2,1880,13,4,0,3,0,0,0,No Basement,Wood,2.00,3798
1092,070023000,117,BOLLINGWOOD RD,,Single Family,1.5 Story,A,Shingles,Hardwood,Forced Air,3,1938,8,3,1,2,0,,,No Basement,Brick Veneer,1.50,2737
1093,070024000,115,BOLLINGWOOD RD,,Single Family,2.5 Story,A,Shingles,Hardwood,Hot Water Radiator,2,1940,9,4,1,3,0,775,,Partial Basement,Stucco,2.50,3083
1094,070024000,115,BOLLINGWOOD RD,,Single Family,1 Story,C,Shingles,None,Hot Water Radiator,0,1956,4,2,0,1,0,285,,Partial Basement,Stucco,1.00,570
1095,070025000,2019,IVY RD,,Single Family-1 Conversion,2 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1941,9,4,0,3,1,1484,500,Full Basement,Brick Veneer,2.00,2044
1096,070026000,0,IVY RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1097,070027000,2001,IVY RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1940,6,3,1,2,0,964,268,Full Basement,Brick Veneer,2.00,1928
1098,070028000,107,BOLLINGWOOD RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1927,9,4,0,3,0,666,0,Partial Basement,Stucco,2.00,2294
1099,070029000,101,BOLLINGWOOD RD,,Duplex,2 Story,C +,Shingles,Hardwood,Forced Air,No dat,1959,16,8,2,4,No dat,1248,1200,Full Basement,Brick Veneer,2,2496
1100,070030000,104,BOLLINGWOOD RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1952,8,3,0,3,0,945,500,Partial Basement,Brick Veneer,2.00,2450
1101,070031000,108,BOLLINGWOOD RD,,Single Family,2 Story,C,Shingles,Hardwood,Hot Water Radiator,1,1930,9,4,1,3,0,921,0,Cellar,Stucco,2.00,2972
1102,070032000,114,BOLLINGWOOD RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1922,10,3,0,3,2,864,0,Partial Basement,Asbestos,2.00,3011
1103,070033000,120,BOLLINGWOOD RD,,Single Family,2 Story,B,Slate,Hardwood,Forced Air,2,1925,9,4,0,3,0,801,0,Partial Basement,Stucco,2.00,3194
1104,070034000,122,BOLLINGWOOD RD,,Single Family,1 Story,B,Shingles,Hardwood,Heat Pump,2,1983,5,2,0,2,0,0,0,No Basement,Wood,1.00,1762
1105,070034100,126,BOLLINGWOOD RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Forced Air,2,1984,8,4,1,3,0,145,,Cellar,Brick Veneer,1.75,3387
1106,070035000,132,BOLLINGWOOD RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1935,7,3,0,2,0,604,,Cellar,Brick Veneer,2.00,1774
1107,070036000,134,BOLLINGWOOD RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1925,9,4,0,2,0,448,0,Partial Basement,Wood Shingle,2.00,2152
1108,070037000,142,BOLLINGWOOD RD,,Duplex,2 Story,B,Shingles,Hardwood,Hot Water Radiator,0,1952,8,4,0,2,0,0,0,No Basement,Brick Veneer,2.00,1910
1109,070038000,112,MINOR RD,,Single Family-1 Conversion,2 Story,B,Shingles,Hardwood,Radiant,0,1948,8,5,0,3,0,410,410,Partial Basement,Concrete Block,2.00,1638
1110,070039000,110,MINOR RD,,Duplex,2 Story,B,Shingles,Hardwood,Hot Water Radiator,0,1948,8,4,0,2,0,354,0,Partial Basement,Wood,2.00,1638
1111,070040000,106,MINOR RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1940,11,4,0,3,0,1062,531,Full Basement,Brick Veneer,2.00,1894
1112,070041000,0,MINOR RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1113,070042000,102,MINOR RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1947,7,3,0,2,0,774,580,Partial Basement,Brick Veneer,1.00,2115
1114,070043000,131,CAMERON LN,,Single Family-1 Conversion,2 Story,B,Shingles,Hardwood,Forced Air,2,1938,10,5,0,3,0,1211,431,Full Basement,Brick Veneer,2.00,2422
1115,070044000,125,CAMERON LN,,Single Family,2 Story,B,Shingles,Hardwood,Heat Pump,1,1981,9,4,1,2,0,1232,,Full Basement,Wood,2.00,2843
1116,070045000,123,CAMERON LN,,Single Family,1.5 Story,B,Asbestos,Hardwood,Hot Water Radiator,2,1935,7,3,1,2,1,639,,Partial Basement,Stone,1.50,1905
1117,070046000,121,CAMERON LN,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1935,5,2,0,1,0,86,,Cellar,Wood,1.00,943
1118,070047000,119,CAMERON LN,,Single Family,1 Sty No Bsmt,B++,Architectural Shingles,Hardwood,Forced Air,1,1940,10,4,1,3,0,,,No Basement,Hardy Board,1.00,1699
1119,070048000,117,CAMERON LN,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1945,8,4,0,2,0,228,,Partial Basement,Aluminum,1.50,2360
1120,070049000,113,CAMERON LN,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1940,6,3,0,2,0,388,0,Partial Basement,Brick Veneer,1.00,1332
1121,070555000,0,UNKNOWN,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1122,080002000,0,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1123,080004000,140,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1124,080005000,132,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1125,080006000,104,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1126,080007000,100,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1127,080008000,105,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1128,080009000,119,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1129,080011100,0,IVY RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1130,080011L00,0,IVY RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1131,080013000,0,IVY RD & CAMERON LN,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1132,080014000,104,CAMERON LN,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1935,7,2,1,2,0,376,0,Partial Basement,Wood,2.00,1874
1133,080015000,106,CAMERON LN,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,2,1946,7,3,0,2,0,775,725,Partial Basement,Brick Veneer,1.00,1550
1134,080016000,108,CAMERON LN,,Single Family,1 Story,B +,Metal,Hardwood,Hot Water Radiator,2,1946,10,4,0,4,0,848,848,Partial Basement,Hardy Board,1.00,1864
1135,080017000,110,CAMERON LN,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,3,1966,9,4,1,4,0,1991,713,Full Basement,Wood,1.00,1991
1136,080018000,118,CAMERON LN,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,1,1900,7,3,0,3,0,0,0,No Basement,Wood,2.00,2345
1137,080019000,119,ROTHERY RD,,Single Family,1 Story,C,Shingles,Tile,Forced Air,1,1956,3,1,0,1,0,,,No Basement,Wood,1.00,640
1138,080020000,1926,IVY RD,,Duplex,1 Story,B,Shingles,Hardwood,Forced Air,0,1960,8,4,0,2,0,0,0,No Basement,Brick Veneer,1.00,1400
1139,080022000,105,ROTHERY RD,,Duplex,1 Story,B,Shingles,Hardwood,Forced Air,0,1958,12,6,2,3,0,2436,238,Full Basement,Brick Veneer,1.00,2436
1140,080023000,115,ROTHERY RD,,Single Family,2 Story,B,Shingles,Hardwood,Heat Pump,1,1973,7,4,0,2,0,0,0,No Basement,Wood,2.00,1895
1141,080028000,209,SPRIGG LN,,Single Family,2 Story,A -,Metal,Heart Pine,Radiant,1,1834,4,2,1,1,No dat,,,No Basement,Brick/Masonry,2.0,0
1142,080028000,209,SPRIGG LN,,Single Family,2 Story,A -,Metal,Heart Pine,Radiant,1,1834,4,2,1,1,No dat,,,No Basement,Brick/Masonry,2.0,0
1143,080028000,209,SPRIGG LN,,Single Family,2 Story,A -,Metal,Heart Pine,Radiant,1,,4,2,1,1,No dat,,,No Basement,Brick/Masonry,2.0,0
1144,080028000,209,SPRIGG LN,,Single Family,2 Story,A +,Metal,Heart Pine,Radiant,4,1834,6,No dat,1,2,No dat,902,,Partial Basement,Brick/Masonry,2.0,1804
1145,080028000,209,SPRIGG LN,,Single Family,2 Story,A +,Metal,Heart Pine,Radiant,4,1834,6,No dat,1,2,No dat,902,,Partial Basement,Brick/Masonry,2.0,1804
1146,080028000,209,SPRIGG LN,,Single Family,2 Story,A +,Metal,Heart Pine,Radiant,4,,6,No dat,1,2,No dat,902,,Partial Basement,Brick/Masonry,2.0,1804
1147,080028000,209,SPRIGG LN,,Single Family,2 Story,A - Hist,No data,Heart Pine,Hot Water Radiator,No dat,1900,8,No dat,No dat,4,No dat,342,0,Partial Basement,Brick Veneer,2,6243
1148,080030000,120,ROTHERY RD,,Single Family,2 Story,B,Tile,Hardwood,Forced Air,2,1940,10,6,1,5,0,729,631,Partial Basement,Stucco,2.00,3659
1149,080035000,101,CRESAP RD,,Duplex,1 Story,C,Shingles,Hardwood,Heat Pump,0,1997,7,4,0,4,0,1980,,Full Basement,Vinyl,1.00,1980
1150,080040000,214,SPRIGG LN,,Single Family,2 Story,A +,Slate,Hardwood,Hot Water Radiator,6,1938,8,4,0,5,0,1777,951,Partial Basement,Brick Veneer,2.50,7156
1151,080041000,0,SPRIGG LN,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1153,080048000,1917,LEWIS MOUNTAIN RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1950,5,3,0,1,2,1018,,Full Basement,Wood,1.00,1018
1152,080048000,1917,LEWIS MOUNTAIN RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1950,7,3,1,2,0,,,No Basement,Brick Veneer,1.50,2060
1154,080049000,1921,LEWIS MOUNTAIN RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1935,5,2,0,2,0,0,0,No Basement,Wood,1.00,1234
1155,080050000,1923,LEWIS MOUNTAIN RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1938,8,4,0,3,0,0,0,No Basement,Wood,2.00,2250
1156,080051000,1927,LEWIS MOUNTAIN RD,,Single Family,2 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1932,9,3,0,3,0,809,0,Partial Basement,Wood,2.00,2245
