OBJECTID,ADDRESSTBL,BIN,ST_NUMBER,STREET,TYPE,NAME,DESCRIP,MAX_HEIGHT,COMMENT,STATUS,CONDITION
36337,Y,115134618,1008,BLENHEIM AVE, , , , , , , 
36338,Y,112844619,1720,CHERRY AVE, , , , , , , 
36339,Y,114894620,1619,TRAILRIDGE RD, , , , , , , 
36340,Y,115234621,500,STONEHENGE AVE, , , , , , , 
36341,Y,114394624,215,CLEVELAND AVE, , , , , , , 
36342,Y,115444625,615,DRUID AVE, , , , , , , 
36343,Y,115274626,610,DRUID AVE, , , , , , , 
36344,Y,114824627,919+,MONTROSE AVE, , , , , , , 
36345,Y,115314628,908,MONTROSE AVE, , , , , , , 
36346,Y,115244632,2432,SUNSET RD, , , , , , , 
36347,Y,114664633,881,RIDGE ST, , , , , , , 
36348,Y,114744634,817,ELLIOTT AVE, , , , , , , 
36349,Y,115324635,1414,MIDLAND ST, , , , , , , 
36350,Y,114914636,717,ALTAVISTA AVE, , , , , , , 
36351,Y,115264637,509,STONEHENGE AVE, , , , , , , 
36352,Y,115114638,1512+,ANTOINETTE AVE, , , , , , , 
36353,Y,115394639,878,RIDGE ST, , , , , , , 
36354,Y,114944640,1401,VINE ST, , , , , , , 
36355,Y,114994641,208,SUNSET AVE, , , , , , , 
36357,Y,115374643,706,ALTAVISTA AVE, , , , , , , 
36358,Y,115464646,206,HARTMANS MILL RD, , , , , , , 
36359,Y,115354648,1306,HAMPTON ST, , , , , , , 
36360,Y,115084649,819,ELLIOTT AVE, , , , , , , 
36361,Y,115184651,721,SHAMROCK RD, , , , , , , 
36362,Y,115204652,713,VILLAGE RD, , , , , , , 
36363,Y,115334655,804,RAYMOND RD, , , , , , , 
36364,Y,115574656,614,DRUID AVE, , , , , , , 
36365,Y,115484658,502+,STONEHENGE AVE, , , , , , , 
36367,Y,115154661,1311,HAMPTON ST, , , , , , , 
36368,Y,115514663,105,VILLAGE CT, , , , , , , 
36369,Y,115524665,918,ROCK CREEK RD, , , , , , , 
36370,Y,115594667,720,FRANKLIN ST, , , , , , , 
36371,Y,115544669,910,MONTROSE AVE, , , , , , , 
36372,Y,115144671,719,ALTAVISTA AVE, , , , , , , 
36373,Y,115634674,708,ALTAVISTA AVE, , , , , , , 
36374,Y,115504675,1616,TRAILRIDGE RD, , , , , , , 
36375,Y,115534676,1006,MERIDIAN ST, , , , , , , 
36376,Y,115364677,718,SHAMROCK RD, , , , , , , 
36377,Y,115624680,1416,MIDLAND ST, , , , , , , 
36378,Y,115744681,1215,AVON ST, , , , , , , 
36379,Y,113844425,1610,TRAILRIDGE RD, , , , , , , 
36380,Y,1425120129,225,HUNTLEY AVE, , , , , , , 
36381,Y,1429018380,220,HUNTLEY AVE, , , , , , , 
36382,Y,1432819791,1717,CHERRY AVE, , , , , , , 
36383,Y,108914286,1500-7,CARLTON AVE, , , , , , , 
36384,Y,108914288,1500-6,CARLTON AVE, , , , , , , 
36385,Y,108914300,1500-5,CARLTON AVE, , , , , , , 
36386,Y,108914320,1500-2,CARLTON AVE, , , , , , , 
36387,Y,108914379,1500-3,CARLTON AVE, , , , , , , 
36388,Y,108914424,1500-4,CARLTON AVE, , , , , , , 
36389,Y,108914498,1500-8,CARLTON AVE, , , , , , , 
36390,Y,108914543,1500-9,CARLTON AVE, , , , , , , 
36391,Y,108914507,1500-10,CARLTON AVE, , , , , , , 
36392,Y,108914521,1500-11,CARLTON AVE, , , , , , , 
36393,Y,108914535,1500-12,CARLTON AVE, , , , , , , 
36394,Y,108914528,1500-15,CARLTON AVE, , , , , , , 
36395,Y,108914538,1500-14,CARLTON AVE, , , , , , , 
36396,Y,108914541,1500-13,CARLTON AVE, , , , , , , 
36397,Y,108914449,1500-17,CARLTON AVE, , , , , , , 
36398,Y,108914496,1500-16,CARLTON AVE, , , , , , , 
36399,Y,108914348,1500-19,CARLTON AVE, , , , , , , 
36400,Y,108914404,1500-18,CARLTON AVE, , , , , , , 
36401,Y,108914174,1500-22,CARLTON AVE, , , , , , , 
36402,Y,108914255,1500-21,CARLTON AVE, , , , , , , 
36403,Y,108914306,1500-20,CARLTON AVE, , , , , , , 
36404,Y,108914211,1500-26,CARLTON AVE, , , , , , , 
36405,Y,108914281,1500-27,CARLTON AVE, , , , , , , 
36406,Y,108914042,1500-23,CARLTON AVE, , , , , , , 
36407,Y,108914100,1500-24,CARLTON AVE, , , , , , , 
36408,Y,108914161,1500-25,CARLTON AVE, , , , , , , 
36409,Y,108914322,1500-28,CARLTON AVE, , , , , , , 
36410,Y,108914371,1500-29,CARLTON AVE, , , , , , , 
36411,Y,108914421,1500-30,CARLTON AVE, , , , , , , 
36412,Y,108914546,1500-33,CARLTON AVE, , , , , , , 
36413,Y,108914464,1500-31,CARLTON AVE, , , , , , , 
36414,Y,108914018,1500-42,CARLTON AVE, , , , , , , 
36415,Y,108914078,1500-41,CARLTON AVE, , , , , , , 
36416,Y,108914122,1500-40,CARLTON AVE, , , , , , , 
36417,Y,108914191,1500-39,CARLTON AVE, , , , , , , 
36418,Y,108914233,1500-38,CARLTON AVE, , , , , , , 
36419,Y,108914277,1500-37,CARLTON AVE, , , , , , , 
36420,Y,108914321,1500-36,CARLTON AVE, , , , , , , 
36421,Y,108914393,1500-35,CARLTON AVE, , , , , , , 
36422,Y,108914432,1500-34,CARLTON AVE, , , , , , , 
36423,Y,108914182,1500-63,CARLTON AVE, , , , , , , 
36424,Y,108914232,1500-64,CARLTON AVE, , , , , , , 
36425,Y,108914327,1500-66,CARLTON AVE, , , , , , , 
36426,Y,108914291,1500-65,CARLTON AVE, , , , , , , 
36427,Y,108914043,1500-60,CARLTON AVE, , , , , , , 
36428,Y,108914091,1500-61,CARLTON AVE, , , , , , , 
36429,Y,108914137,1500-62,CARLTON AVE, , , , , , , 
36430,Y,108913988,1500-59,CARLTON AVE, , , , , , , 
36431,Y,1162936431,1218,AVON ST, , , , , , , 
36432,Y,1425020128,223,HUNTLEY AVE, , , , , , , 
36433,Y,1424617440,221,HUNTLEY AVE, , , , , , , 
36434,Y,1424717437,219,HUNTLEY AVE, , , , , , , 
36435,Y,1424817436,217,HUNTLEY AVE, , , , , , , 
36436,Y,1424917426,215,HUNTLEY AVE, , , , , , , 
36437,Y,1424517435,213,HUNTLEY AVE, , , , , , , 
36438,Y,1424417434,211,HUNTLEY AVE, , , , , , , 
36439,Y,113654438,1305,HAMPTON ST, , , , , , , 
36440,Y,113604453,707,ALTAVISTA AVE, , , , , , , 
36441,Y,111564112,917,BLENHEIM AVE, , , , , , , 
36442,Y,1116622991,817,MONTROSE AVE, , , , , , , 
36443,Y,1078619747,717,MONTROSE AVE, , , , , , , 
36444,Y,1443417365,833+,RAINIER RD, , , , , , , 
36445,Y,1453617391,600,RAINIER RD, , , , , , , 
36446,Y,1434417398,119,MORGAN CT, , , , , , , 
36447,Y,1434317399,117,MORGAN CT, , , , , , , 
36448,Y,1434217400,115,MORGAN CT, , , , , , , 
36449,Y,1434117401,113,MORGAN CT, , , , , , , 
36450,Y,1434017402,111,MORGAN CT, , , , , , , 
36451,Y,1424217430,112,MORGAN CT, , , , , , , 
36452,Y,1415717431,201,HUNTLEY AVE, , , , , , , 
36453,Y,1415817432,203,HUNTLEY AVE, , , , , , , 
36454,Y,1416017433,207,HUNTLEY AVE, , , , , , , 
36455,Y,1066017151,255+,STRIBLING AVE, , , , , , , 
36456,Y,105233198,908,MONTICELLO AVE, , , , , , , 
36457,Y,105283199,2327,HIGHLAND AVE, , , , , , , 
36458,Y,104263200,233,STRIBLING AVE, , , , , , , 
36459,Y,105173201,708+,ROCK CREEK RD, , , , , , , 
36460,Y,105263202,1012,BELMONT AVE, , , , , , , 
36461,Y,106033203,1636,MULBERRY AVE, , , , , , , 
36462,Y,104743204,1645,MULBERRY AVE, , , , , , , 
36463,Y,105033205,1519,TRAILRIDGE RD, , , , , , , 
36464,Y,105193206,802+,BOLLING AVE, , , , , , , 
36465,Y,104883207,815,BOLLING AVE, , , , , , , 
36466,Y,105213208,404,ELLIOTT AVE, , , , , , , 
36467,Y,104793213,721,BLENHEIM AVE, , , , , , , 
36468,Y,105403216,774,RIDGE ST, , , , , , , 
36469,Y,104473218,235+,STRIBLING AVE, , , , , , , 
36470,Y,105533222,146,BURNET ST, , , , , , , 
36471,Y,105393223,702,MERIDIAN ST, , , , , , , 
36472,Y,104933225,607,SHAMROCK RD, , , , , , , 
36473,Y,105753227,757+,ORANGEDALE AVE, , , , , , , 
36474,Y,105513230,704,BLENHEIM AVE, , , , , , , 
36475,Y,105853231,752+,ORANGEDALE AVE, , , , , , , 
36476,Y,105473232,2406,SUNSET RD, , , , , , , 
36477,Y,105053233,715,BLENHEIM AVE, , , , , , , 
36478,Y,105723234,2412+,JEFFERSON PARK AVE, , , , , , , 
36479,Y,105903235,757+,PROSPECT AVE, , , , , , , 
36480,Y,109343236,904+,1ST ST S, , , , , , , 
36481,Y,105663237,806,BOLLING AVE, , , , , , , 
36482,Y,105563238,208,LANKFORD AVE, , , , , , , 
36483,Y,105463240,915,AVON ST, , , , , , , 
36484,Y,105573241,904,AVON ST, , , , , , , 
36485,Y,105713242,604,MONTROSE AVE, , , , , , , 
36487,Y,105143245,803,RIDGE ST, , , , , , , 
36488,Y,105253246,200+,STRIBLING AVE, , , , , , , 
36489,Y,105613247,406,ELLIOTT AVE, , , , , , , 
36490,Y,105553248,1430,FOREST RIDGE RD, , , , , , , 
36491,Y,105803250,2413+,JEFFERSON PARK AVE, , , , , , , 
36492,Y,105623251,2405,SUNSET RD, , , , , , , 
36493,Y,105163252,202+,STRIBLING AVE, , , , , , , 
36494,Y,105453253,501,ELLIOTT AVE, , , , , , , 
36495,Y,104983254,615,MONTROSE AVE, , , , , , , 
36496,Y,105653255,300,CARLTON RD, , , , , , , 
36497,Y,105323256,1524,TRAILRIDGE RD, , , , , , , 
36498,Y,105733257,1104,WARE ST, , , , , , , 
36499,Y,105523258,218+,STRIBLING AVE, , , , , , , 
36500,Y,105273259,806,5TH ST SW, , , , , , , 
36501,Y,104643260,237,STRIBLING AVE, , , , , , , 
36502,Y,105633261,1638,MULBERRY AVE, , , , , , , 
36503,Y,105873264,706+,BLENHEIM AVE, , , , , , , 
36504,Y,105913266,144,BURNET ST, , , , , , , 
36505,Y,104903267,1112,LEONARD ST, , , , , , , 
36506,Y,105293269,1647,MULBERRY AVE, , , , , , , 
36507,Y,105783270,606,SHAMROCK RD, , , , , , , 
36508,Y,105933272,920,MONTICELLO AVE, , , , , , , 
36509,Y,106003276,139,BURNET ST, , , , , , , 
36510,Y,105963277,808,BOLLING AVE, , , , , , , 
36511,Y,105333278,717,BLENHEIM AVE, , , , , , , 
36512,Y,106013279,408,ELLIOTT AVE, , , , , , , 
36513,Y,105683280,719,BLENHEIM AVE, , , , , , , 
36514,Y,95563283,772+,PROSPECT AVE, , , , , , , 
36515,Y,105893284,1109,LEONARD ST, , , , , , , 
36516,Y,105833285,2329,HIGHLAND AVE, , ,per ADEPT, , , , 
36517,Y,106023286,917,AVON ST, , , , , , , 
36518,Y,105973287,210,LANKFORD AVE, , , , , , , 
36519,Y,141983289,214+,STRIBLING AVE, , , , , , , 
36520,Y,105203290,1633,CHERRY AVE, , , , , , , 
36521,Y,95563292,754+,PROSPECT AVE, , , , , , , 
36522,Y,105763294,805,RIDGE ST, , , , , , , 
36523,Y,100943296,1645,CHERRY AVE,SCHOOL,Johnson Elementary, , , , , 
36524,Y,106153297,142,BURNET ST, , , , , , , 
36525,Y,105823300,226+,STRIBLING AVE, , , , , , , 
36526,Y,105443304,835,BOLLING AVE, , , , , , , 
36527,Y,106103306,708,BLENHEIM AVE, , , , , , , 
36528,Y,105983307,505,ELLIOTT AVE, , , , , , , 
36529,Y,106183308,608,MONTROSE AVE, , , , , , , 
36530,Y,105693309,609,SHAMROCK RD, , , , , , , 
36531,Y,106093310,712+,ROCK CREEK RD, , , , , , , 
36532,Y,106423312,761+,ORANGEDALE AVE, , , , , , , 
36533,Y,106273313,140,BURNET ST, , , , , , , 
36534,Y,106213314,810,BOLLING AVE, , , , , , , 
36535,Y,106233315,922,MONTICELLO AVE, , , , , , , 
36536,Y,105593316,782,PROSPECT AVE, , , , , , , 
36537,Y,106363318,906,AVON ST, , , , , , , 
36538,Y,106253319,2408,SUNSET RD, , , , , , , 
36539,Y,106133320,756+,ORANGEDALE AVE, , , , , , , 
36540,Y,106043321,1432,FOREST RIDGE RD, , , , , , , 
36541,Y,106223324,1015,6TH ST SE, , , , , , , 
36542,Y,106413325,2415,JEFFERSON PARK AVE, , , , , , , 
36543,Y,105883326,1107,MONTICELLO RD, , , , , , , 
36544,Y,106283327,2407,SUNSET RD, , , , , , , 
36545,Y,106143329,305,CARLTON RD, , , , , , , 
36546,Y,106483330,761+,PROSPECT AVE, , , , , , , 
36548,Y,106373334,302+,CARLTON RD, , , , , , , 
36549,Y,106073335,228+,STRIBLING AVE, , , , , , , 
36550,Y,105813336,1521,TRAILRIDGE RD, , , , , , , 
36551,Y,106313339,204,LANKFORD AVE, , , , , , , 
36552,Y,106463340,1635,CHERRY AVE, , , , , , , 
36553,Y,106523344,2331,HIGHLAND AVE, , , , , , , 
36554,Y,106563346,812,BOLLING AVE, , , , , , , 
36555,Y,106583347,610+,MONTROSE AVE, , , , , , , 
36556,Y,106403349,608,SHAMROCK RD, , , , , , , 
36557,Y,106433351,1523,TRAILRIDGE RD, , , , , , , 
36558,Y,105303354,239,STRIBLING AVE, , , , , , , 
36559,Y,106443356,919,AVON ST, , , , , , , 
36560,Y,106353357,237,HARTMANS MILL RD, , , , , , , 
36561,Y,106623358,924,MONTICELLO AVE, , , , , , , 
36562,Y,106733359,117,LANKFORD AVE, , , , , , , 
36563,Y,106293360,230,STRIBLING AVE, , , , , , , 
36564,Y,106633364,800+,RIDGE ST, , , , , , , 
36565,Y,106653369,1111,LEONARD ST, , , , , , , 
36566,Y,106593370,2416,JEFFERSON PARK AVE, , , , , , , 
36567,Y,106813371,612,MONTROSE AVE, , , , , , , 
36568,Y,106243373,801,BLENHEIM AVE, , , , , , , 
36569,Y,106703375,712,BLENHEIM AVE, , , , , , , 
36570,Y,106713377,1017,6TH ST SE, , , , , , , 
36572,Y,106263379,807,RIDGE ST, , , , , , , 
36573,Y,106083383,1637,CHERRY AVE, , , , , , , 
36574,Y,106783384,814,BOLLING AVE, , , , , , , 
36575,Y,105743387,1655,MULBERRY AVE, , , , , , , 
36576,Y,106743389,701+,MONTROSE AVE, , , , , , , 
36577,Y,107043390,2417+,JEFFERSON PARK AVE, , , , , , , 
36578,Y,106673391,234+,STRIBLING AVE, , , , , , , 
36579,Y,107153392,765+,ORANGEDALE AVE, , , , , , , 
36580,Y,107043393,2417+,JEFFERSON PARK AVE, , , , , , , 
36581,Y,106803395,1526,TRAILRIDGE RD, , , , , , , 
36582,Y,106303396,611,SHAMROCK RD, , , , , , , 
36583,Y,106613400,811,BLENHEIM AVE, , , , , , , 
36584,Y,107023401,1108,WARE ST, , , , , , , 
36585,Y,106823402,760+,ORANGEDALE AVE, , , , , , , 
36586,Y,106203403,1114,LEONARD ST, , , , , , , 
36587,Y,107053406,2410+,SUNSET RD, , , , , , , 
36588,Y,107113407,115,LANKFORD AVE, , , , , , , 
36589,Y,107143409,832,BOLLING AVE, , , , , , , 
36590,Y,106943410,714,BLENHEIM AVE, , , , , , , 
36591,Y,107093411,2409,SUNSET RD, , , , , , , 
36592,Y,107193412,765+,PROSPECT AVE, , , , , , , 
36593,Y,107133413,614,MONTROSE AVE, , , , , , , 
36594,Y,107073414,304+,CARLTON RD, , , , , , , 
36595,Y,106843415,307,CARLTON RD, , , , , , , 
36596,Y,106513417,1639,CHERRY AVE, , , , , , , 
36597,Y,106993419,928,MONTICELLO AVE, , , , , , , 
36598,Y,106793420,809,RIDGE ST, , , , , , , 
36599,Y,107123421,502,ELLIOTT AVE, , , , , , , 
36600,Y,105673422,247+,STRIBLING AVE, , , , , , , 
36601,Y,106863423,1112,MONTICELLO RD, , , , , , , 
36602,Y,106693426,905,BOLLING AVE, , , , , , , 
36603,Y,106973427,1107,RAYON ST, , , , , , , 
36604,Y,107033428,610,SHAMROCK RD, , , , , , , 
36605,Y,109343430,912+,1ST ST S, , , , , , , 
36607,Y,106883435,236,STRIBLING AVE, , , , , , , 
36608,Y,106663436,601,ELLIOTT AVE, , , , , , , 
36609,Y,107103437,703,MONTROSE AVE, , , , , , , 
36610,Y,107273439,716,BLENHEIM AVE, , , , , , , 
36611,Y,107433442,120,LANKFORD AVE, , , , , , , 
36612,Y,107383444,504,ELLIOTT AVE, , , , , , , 
36614,Y,107223449,1531,TRAILRIDGE RD, , , , , , , 
36615,Y,107423450,616+,MONTROSE AVE, , , , , , , 
36616,Y,107733452,788+,PROSPECT AVE, , , , , , , 
36617,Y,107643453,2419,JEFFERSON PARK AVE, , , , , , , 
36618,Y,106953454,907,BOLLING AVE, , , , , , , 
36619,Y,107623455,820,5TH ST SW, , , , , , , 
36620,Y,107523456,1304,CARLTON AVE, , , , , , , 
36621,Y,107453457,1113,LEONARD ST, , , , , , , 
36622,Y,107363459,932,MONTICELLO AVE, , , , , , , 
36623,Y,105953461,249+,STRIBLING AVE, , , , , , , 
36624,Y,107483462,242,HARTMANS MILL RD, , , , , , , 
36625,Y,107323464,804+,RIDGE ST, , , , , , , 
36626,Y,106503465,111,LANKFORD AVE, , , , , , , 
36627,Y,107583467,718,BLENHEIM AVE, , , , , , , 
36628,Y,106983468,813,BLENHEIM AVE, , , , , , , 
36629,Y,107513469,1114+,MONTICELLO RD, , , , , , , 
36630,Y,107013471,613,SHAMROCK RD, , , , , , , 
36631,Y,107833472,769+,ORANGEDALE AVE, , , , , , , 
36632,Y,107693473,716,ROCK CREEK RD, , , , , , , 
36633,Y,107723475,1001,AVON ST, , , , , , , 
36634,Y,107543476,764+,ORANGEDALE AVE, , , , , , , 
36635,Y,107303477,705,MONTROSE AVE, , , , , , , 
36636,Y,107573481,769+,PROSPECT AVE, , , , , , , 
36637,Y,106923483,1641,CHERRY AVE, , , , , , , 
36638,Y,107163484,613,ELLIOTT AVE, , , , , , , 
36639,Y,107403485,238,STRIBLING AVE, , , , , , , 
36640,Y,107533486,1528,TRAILRIDGE RD, , , , , , , 
36641,Y,107353489,1116,LEONARD ST, , , , , , , 
36642,Y,107413490,815,BLENHEIM AVE, , , , , , , 
36643,Y,107263493,707,MONTROSE AVE, , , , , , , 
36644,Y,109343494,914+,1ST ST S, , , , , , , 
36645,Y,107813495,118,LANKFORD AVE, , , , , , , 
36646,Y,107803496,2411+,SUNSET RD, , , , , , , 
36647,Y,107783497,2412,SUNSET RD, , , , , , , 
36648,Y,107673498,309,CARLTON RD, , , , , , , 
36649,Y,107773499,1106,RAYON ST, , , , , , , 
36650,Y,107793500,119+,HAMMOND ST, , , , , , , 
36651,Y,107913501,306+,CARLTON RD, , , , , , , 
36652,Y,107443503,615,ELLIOTT AVE, , , , , , , 
36653,Y,107633504,1113,MONTICELLO RD, , , , , , , 
36654,Y,107753507,612,SHAMROCK RD, , , , , , , 
36655,Y,106123508,251+,STRIBLING AVE, , , , , , , 
36656,Y,107713509,1101+,6TH ST SE, , , , , , , 
36657,Y,107563512,1533,TRAILRIDGE RD, , , , , , , 
36658,Y,107003517,233,HARTMANS MILL RD, , , , , , , 
36659,Y,107603518,911,BOLLING AVE, , , , , , , 
36660,Y,107503520,2340,HIGHLAND AVE, , , , , , , 
36661,Y,106893521,2327,CRESTMONT AVE, , , , , , , 
36662,Y,108043522,240,HARTMANS MILL RD, , , , , , , 
36663,Y,107903524,800,MERIDIAN ST, , , , , , , 
36664,Y,108313526,792+,PROSPECT AVE, , , , , , , 
36665,Y,107983527,808,RIDGE ST, , , , , , , 
36666,Y,106113528,1634,CHERRY AVE, , , , , , , 
36667,Y,107083530,109,LANKFORD AVE, , , , , , , 
36669,Y,109343534,906+,1ST ST S, , , , , , , 
36670,Y,107393535,834,BOLLING AVE, , , , , , , 
36671,Y,107853537,615,SHAMROCK RD, , , , , , , 
36672,Y,107963538,2337,HIGHLAND AVE, , , , , , , 
36673,Y,108123539,813+,RIDGE ST, , , , , , , 
36674,Y,108023544,1308+,CARLTON AVE, , , , , , , 
36675,Y,108193545,1000+,AVON ST, , , , , , , 
36676,Y,107823546,913,BOLLING AVE, , , , , , , 
36677,Y,107173547,2421+,JEFFERSON PARK AVE, , , , , , , 
36678,Y,107743548,609,ELLIOTT AVE, , , , , , , 
36679,Y,107183552,2326+,CRESTMONT AVE, , , , , , , 
36680,Y,108103554,768+,ORANGEDALE AVE, , , , , , , 
36681,Y,106873555,2325,CRESTMONT AVE, , , , , , , 
36682,Y,108243558,625+,ELLIOTT AVE, , , , , , , 
36683,Y,108033559,1530,TRAILRIDGE RD, , , , , , , 
36684,Y,108253561,1115,LEONARD ST, , , , , , , 
36685,Y,108423564,773+,PROSPECT AVE, , , , , , , 
36686,Y,107943565,113,ELKHORN RD, , , , , , , 
36687,Y,108083566,1008,TUFTON AVE, , , , , , , 
36688,Y,107933569,2422,JEFFERSON PARK AVE, , , , , , , 
36689,Y,108303570,400,ROBINSON PL, , , , , , , 
36690,Y,108233571,801+,ORANGEDALE AVE, , , , , , , 
36691,Y,108203573,1103+,6TH ST SE, , , , , , , 
36692,Y,108003575,611,ELLIOTT AVE, , , , , , , 
36693,Y,108063576,915,BOLLING AVE, , , , , , , 
36694,Y,108563580,2413,SUNSET RD, , , , , , , 
36695,Y,107993581,1116,MONTICELLO RD, , , , , , , 
36696,Y,108443582,2414+,SUNSET RD, , , , , , , 
36697,Y,108163583,114+,LANKFORD AVE, , , , , , , 
36698,Y,108413584,311,CARLTON RD, , , , , , , 
36699,Y,108473585,910,BOLLING AVE, , , , , , , 
36700,Y,108363586,802,BLENHEIM AVE, , , , , , , 
36701,Y,108393587,614,SHAMROCK RD, , , , , , , 
36702,Y,108403588,1118,LEONARD ST, , , , , , , 
36703,Y,107173591,2421-C,JEFFERSON PARK AVE, , , , , , , 
36704,Y,108213592,810+,RIDGE ST, , , , , , , 
36705,Y,108463593,238,HARTMANS MILL RD, , , , , , , 
36706,Y,108553594,402,ROBINSON PL, , , , , , , 
36707,Y,108483595,600,ELLIOTT AVE, , , , , , , 
36708,Y,108683597,308+,CARLTON RD, , , , , , , 
36709,Y,108173601,2342,HIGHLAND AVE, , , , , , , 
36710,Y,108543602,1012,TUFTON AVE, , , , , , , 
36711,Y,106323603,253+,STRIBLING AVE, , , , , , , 
36712,Y,108533604,804,MERIDIAN ST, , , , , , , 
36713,Y,108053607,800,BLENHEIM AVE, , , , , , , 
36714,Y,108223609,823,BLENHEIM AVE, , , , , , , 
36715,Y,108723613,1109,RAYON ST, , , , , , , 
36716,Y,109343615,916+,1ST ST S, , , , , , , 
36717,Y,108073618,719,MONTROSE AVE, , , , , , , 
36718,Y,109343622,918+,1ST ST S, , , , , , , 
36719,Y,108773627,702,MONTROSE AVE, , , , , , , 
36720,Y,108573628,1532,TRAILRIDGE RD, , , , , , , 
36721,Y,108653630,804,BLENHEIM AVE, , , , , , , 
36722,Y,108473631,912,BOLLING AVE, , , , , , , 
36723,Y,108873633,117+,HAMMOND ST, , , , , , , 
36724,Y,108853635,236,HARTMANS MILL RD, , , , , , , 
36725,Y,108763636,404,ROBINSON PL, , , , , , , 
36726,Y,108733637,817+,RIDGE ST, , , , , , , 
36727,Y,108503639,617,SHAMROCK RD, , , , , , , 
36728,Y,108523640,1007,AVON ST, , , , , , , 
36729,Y,107653644,231,HARTMANS MILL RD, , , , , , , 
36730,Y,108743645,602,ELLIOTT AVE, , , , , , , 
36731,Y,108493646,1115,MONTICELLO RD, , , , , , , 
36732,Y,108263648,111,ELKHORN RD, , , , , , , 
36733,Y,108713649,1105,6TH ST SE, , , , , , , 
36734,Y,108803650,1016,TUFTON AVE, , , , , , , 
36735,Y,108703651,2339,HIGHLAND AVE, , , , , , , 
36736,Y,108663653,2323,CRESTMONT AVE, , , , , , , 
36737,Y,108273654,2324+,CRESTMONT AVE, , , , , , , 
36738,Y,108943658,814+,RIDGE ST, , , , , , , 
36739,Y,108023660,1310+,CARLTON AVE, , , , , , , 
36740,Y,108373661,723,MONTROSE AVE, , , , , , , 
36741,Y,108933662,112,LANKFORD AVE, , , , , , , 
36742,Y,109343664,908+,1ST ST S, , , , , , , 
36743,Y,108883667,805+,ORANGEDALE AVE, , , , , , , 
36744,Y,108863668,806,BLENHEIM AVE, , , , , , , 
36745,Y,108963669,914,BOLLING AVE, , , , , , , 
36746,Y,108843671,702,CASTALIA ST, , , , , , , 
36747,Y,108513672,825,BLENHEIM AVE, , , , , , , 
36748,Y,109133673,1117,LEONARD ST, , , , , , , 
36749,Y,108623676,919,BOLLING AVE, , , , , , , 
36750,Y,109103677,627,ELLIOTT AVE, , , , , , , 
36751,Y,109013678,604,ELLIOTT AVE, , , , , , , 
36752,Y,109053679,1018+,TUFTON AVE, , , , , , , 
36753,Y,109163680,1312,CARLTON AVE, , , , , , , 
36754,Y,109283681,2415,SUNSET RD, , , , , , , 
36755,Y,109293682,1111,RAYON ST, , , , , , , 
36756,Y,109223683,1104+,6TH ST SE, , , , , , , 
36757,Y,109233684,234,HARTMANS MILL RD, , , , , , , 
36758,Y,109123687,313,CARLTON RD, , , , , , , 
36759,Y,108933688,110,LANKFORD AVE, , , , , , , 
36760,Y,108973689,616,SHAMROCK RD, , , , , , , 
36761,Y,109113691,1118+,MONTICELLO RD, , , , , , , 
36762,Y,109183693,1120,LEONARD ST, , , , , , , 
36763,Y,109153694,2416+,SUNSET RD, , , , , , , 
36764,Y,109333698,716,MONTROSE AVE, , , , , , , 
36765,Y,109093700,1534,TRAILRIDGE RD, , , , , , , 
36766,Y,108983701,112,ELKHORN RD, , , , , , , 
36767,Y,108963702,916,BOLLING AVE, , , , , , , 
36768,Y,109263703,806,MERIDIAN ST, , , , , , , 
36769,Y,108673704,725,MONTROSE AVE, , , , , , , 
36770,Y,109143705,808,BLENHEIM AVE, , , , , , , 
36771,Y,109173706,116,LANKFORD AVE, , , , , , , 
36772,Y,109213707,1107+,6TH ST SE, , , , , , , 
36773,Y,109343708,920+,1ST ST S, , , , , , , 
36774,Y,109413710,310,CARLTON RD, , , , , , , 
36775,Y,109533711,115+,HAMMOND ST, , , , , , , 
36776,Y,109273715,606,ELLIOTT AVE, , , , , , , 
36777,Y,108783716,827,BLENHEIM AVE, , , , , , , 
36778,Y,109633717,704,CASTALIA ST, , , , , , , 
36779,Y,109083720,821+,RIDGE ST, , , , , , , 
36780,Y,108153721,227,HARTMANS MILL RD, , , , , , , 
36781,Y,109303722,2341,HIGHLAND AVE, , , , , , , 
36782,Y,108933726,108,LANKFORD AVE, , , , , , , 
36783,Y,109323727,2425,JEFFERSON PARK AVE, , , , , , , 
36784,Y,109523729,918,BOLLING AVE, , , , , , , 
36785,Y,109373730,1020,TUFTON AVE, , , , , , , 
36786,Y,108633731,109,ELKHORN RD, , , , , , , 
36787,Y,109573733,718,MONTROSE AVE, , , , , , , 
36788,Y,109343735,910+,1ST ST S, , , , , , , 
36789,Y,109403737,810,BLENHEIM AVE, , , , , , , 
36790,Y,109603738,2322,CRESTMONT AVE, , , , , , , 
36791,Y,140493740,1314+,CARLTON AVE, , , , , , , 
36792,Y,109773744,800+,ORANGEDALE AVE, , , , , , , 
36793,Y,109483746,608,ELLIOTT AVE, , , , , , , 
36794,Y,109443747,2321+,CRESTMONT AVE, , , , , , , 
36795,Y,109613749,1006,AVON ST, , , , , , , 
36796,Y,109553751,623+,BAILEY RD, , , , , , , 
36797,Y,109873754,809+,ORANGEDALE AVE, , , , , , , 
36798,Y,109563758,1113,RAYON ST, , , , , , , 
36799,Y,109853760,920,BOLLING AVE, , , , , , , 
