OBJECTID,BIN,ST_NUMBER,ST_UNIT,UNIT_TYPE,PREDIR,ST_NAME,SUFFIX,POSTDIR,ZIP,STSEGID,USE_TYPE,MasterAddressID
8087,99442589,111,B,UNIT, ,RAYMOND,AVE, ,22903, ,R,83456
8088,41597748,1223,B,APT, ,COLEMAN,CT, ,22901, ,R,83457
8089,516815844,750,105,#, ,HARRIS,ST, ,22903, ,C,83458
8090,135437003,108,B,APT, ,LONGWOOD,DR, ,22903, ,R,83459
8091,507115789,1918,,, ,THOMSON,RD, ,22903, ,R,83460
8092,7090277,507,,, ,VALLEY,RD, ,22903, ,R,83461
8093,7395493,521,,, ,VALLEY,RD, ,22903, ,R,83462
8094,7077284,315,,, ,MONTEBELLO,CIR, ,22903, ,R,83463
8095,7530554,1810,,, ,CHELSEA,DR, ,22903, ,R,83464
8096,124585694,2607,,, ,JEFFERSON PARK,AVE, ,22903, ,R,83465
8097,130036354,2716,,, ,JEFFERSON PARK,AVE, ,22903, ,R,83466
8098,466015430,709,,, ,CARGIL,LN, ,22902, ,R,83467
8099,94782062,2226,,, ,CENTER,AVE, ,22903, ,R,83468
8100,94902221,1509,,, ,CHERRY,AVE, ,22903, ,R,83469
8101,445115169,1101,,, ,GORDON,AVE, ,22903, ,R,83470
8102,95452229,1513,,, ,CHERRY,AVE, ,22903, ,R,83471
8103,116824799,1506,,, ,MIDLAND,ST, ,22902, ,R,83472
8104,117354896,1402,,, ,VINE,ST, ,22902, ,R,83473
8105,128686176,714,,, ,PALATINE,AVE, ,22902, ,R,83474
8106,130006326,906,,, ,ROCKLAND,AVE, ,22902, ,R,83475
8107,131506546,415,,, ,QUARRY,RD, ,22902, ,R,83476
8108,93729509,231,,, ,DOUGLAS,AVE, ,22902, ,C,83477
8109,82231143,717,,, ,ELM,ST, ,22903, ,R,83478
8110,41810287,2236,,, ,BANBURY,ST, ,22901, ,R,83479
8111,42410305,2231,,, ,BANBURY,ST, ,22901, ,R,83480
8112,50710412,2223,,, ,BANBURY,ST, ,22901, ,R,83481
8113,140493740,1316,,, ,CARLTON,AVE, ,22902, ,R,83482
8114,59810531,2215,,, ,BANBURY,ST, ,22901, ,R,83483
8115,166211959,1309,,, ,RUGBY,RD, ,22903, ,R,83484
8116,1461217348,910,,, ,RAINIER,RD, ,22903, ,R,83485
8117,442415143,908,,, ,FOREST,ST, ,22903, ,R,83486
8118,101772719,728,,, ,ORANGEDALE,AVE, ,22903, ,R,83541
8119,114624480,814,,, ,PROSPECT,AVE, ,22903, ,R,83542
8120,99252474,310,,, ,CHESTNUT,ST, ,22902, ,R,83543
8121,72368668,1212,,, ,MERIWETHER,ST, ,22902, ,R,83544
8122,75728780,701,,,E,WATER,ST, ,22902, ,C,83545
8123,76088774,400,,, ,13TH,ST,NE,22902, ,R,83546
8124,231712825,1610,,, ,RUGBY,AVE, ,22903, ,R,83547
8125,88201822,969,,, ,2ND,ST,SE,22902, ,C,83548
8126,7882911,505,,, ,GARRETT,ST, ,22902, ,C,83549
8127,609216819,400,,,W,HIGH,ST, ,22902, ,R,83550
8128,122265403,2515,,, ,WILLARD,DR, ,22903, ,R,83551
8129,438715204,1929,,, ,LEWIS MOUNTAIN,RD, ,22903, ,R,83552
8130,542616142,911,B,UNIT, ,PAOLI,ST, ,22903, ,R,83553
8131,95563005,770,E,APT, ,PROSPECT,AVE, ,22903, ,R,83554
8132,95563005,770,F,APT, ,PROSPECT,AVE, ,22903, ,R,83555
8133,95562845,748,D,APT, ,PROSPECT,AVE, ,22903, ,R,83556
8134,95562744,738,B,APT, ,PROSPECT,AVE, ,22903, ,R,83557
8135,95562744,740,E,APT, ,PROSPECT,AVE, ,22903, ,R,83558
8136,95562744,740,F,APT, ,PROSPECT,AVE, ,22903, ,R,83559
8137,89281624,2108,A,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,83560
8138,152511732,1619,,, ,ROSE HILL,DR, ,22903, ,R,83561
8139,357814149,728,B,UNIT, ,MADISON,AVE, ,22903, ,R,83562
8140,357814149,726,C,UNIT, ,MADISON,AVE, ,22903, ,R,83563
8141,82721181,118,,, ,NORTH BAKER,ST, ,22903, ,R,83564
8142,34210110,206,,, ,ZAN,RD, ,22901, ,C,83565
8143,21010074,243,,, ,ZAN,RD, ,22901, ,C,83566
8144,34210110,204,,, ,ZAN,RD, ,22901, ,C,83567
8145,84061285,117,,, ,NORTH BAKER,ST, ,22903, ,R,83568
8146,574316442,702,,, ,WEST,ST, ,22903, ,R,83569
8147,600516730,302,,, ,8TH,ST,NW,22903, ,R,83570
8148,90191711,2208,,, ,FONTAINE,AVE, ,22903, ,C,83571
8149,365414327,607,,, ,WATSON,AVE, ,22901, ,R,83572
8150,377114473,623,,, ,WATSON,AVE, ,22901, ,R,83573
8151,98732421,104,B,APT, ,MORRIS PAUL,CT, ,22903, ,R,83574
8152,299313611,611,215,#, ,RUGBY,RD, ,22903, ,R,83575
8153,727521636,105,,, ,4TH,ST,SE,22902, ,C,83576
8154,727521636,107,,, ,4TH,ST,SE,22902, ,C,83577
8155,89929351,1502,,, ,SHORT 18TH,ST, ,22902, ,R,83578
8156,600416766,519,,, ,LEXINGTON,AVE, ,22902, ,R,83579
8157,87049283,329,,, ,RIVERSIDE,AVE, ,22902, ,I,83580
8158,126975922,1453,,, ,AVON,ST, ,22902, ,R,83581
8159,526515959,632,,, ,PARK,ST, ,22902, ,R,83582
8160,554116259,616,,, ,PARK,ST, ,22902, ,R,83583
8161,560816297,611,,, ,PARK,ST, ,22902, ,R,83584
8162,566816370,614,,, ,PARK,ST, ,22902, ,R,83585
8163,128876278,1105,W,UNIT, ,DRUID,AVE, ,22902, ,R,84661
8164,117511295,1602,,, ,KEITH VALLEY,RD, ,22903, ,R,84662
8165,7641641,220,,, ,5TH,ST,SW,22903, ,R,84663
8166,7643656,227,,, ,4TH,ST,SW,22903, ,R,84664
8167,216112642,1912,,, ,FENDALL,AVE, ,22903, ,R,84666
8168,225012745,1840,,, ,WINSTON,RD, ,22903, ,R,84667
8169,371114422,510,A,UNIT, ,16TH,ST,NW,22903, ,R,84668
8170,85301366,506,B,APT, ,RIDGE,ST, ,22902, ,R,84669
8171,361514234,513,,, ,RUGBY,RD, ,22903, ,R,84670
8172,150611772,2401,26,APT, ,ARLINGTON,BLVD, ,22903, ,R,84671
8173,150611772,2401,27,APT, ,ARLINGTON,BLVD, ,22903, ,R,84672
8174,62410570,2206,9,#, ,NORTH BERKSHIRE,RD, ,22901, ,R,84673
8175,74310727,2121,5,#, ,ANGUS,RD, ,22901, ,R,84674
8176,332913755,828,A,UNIT, ,CABELL,AVE, ,22903, ,R,84675
8177,332913755,828,B,UNIT, ,CABELL,AVE, ,22903, ,R,84676
8178,81471341,415,C,UNIT, ,GARRETT,ST, ,22902, ,R,84677
8179,13933265,710,3D,UNIT, ,WALKER,SQ, ,22903, ,R,84678
8180,297213636,2021,D6,APT, ,IVY,RD, ,22903, ,R,84679
8181,150611723,2401,62,APT, ,ARLINGTON,BLVD, ,22903, ,R,84680
8182,95562232,732,D,APT, ,PROSPECT,AVE, ,22903, ,R,84681
8183,95562232,732,E,APT, ,PROSPECT,AVE, ,22903, ,R,84682
8184,442915211,1538,5,#, ,VIRGINIA,AVE, ,22903, ,R,84683
8185,7881935,1800,508,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,84684
8186,7881935,1800,509,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,84685
8187,7881935,1800,205,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,84686
8188,809017183,117,B,APT, ,APPLE TREE,RD, ,22903, ,R,84687
8189,8061972,210,2,#, ,MAURY,AVE, ,22903, ,R,84689
8190,7291409,215,1A,UNIT, ,5TH,ST,SW,22903, ,R,84690
8191,588916597,1300,C-2,APT, ,WERTLAND,ST, ,22903, ,R,84691
8192,588916597,1300,C-3,APT, ,WERTLAND,ST, ,22903, ,R,84692
8193,1439936,2406,,, ,HILLWOOD,PL, ,22901, ,R,84693
8194,1559946,2414,,, ,HILLWOOD,PL, ,22901, ,R,84694
8195,1579952,2316,,, ,TARLETON,DR, ,22901, ,R,84695
8196,87731550,232,,, ,SHAMROCK,RD, ,22903, ,R,84696
8197,80311016,407,,, ,OAK,ST, ,22903, ,R,84697
8198,81261024,415,,, ,4TH,ST,SW,22903, ,R,84698
8199,81451053,339,,, ,6TH,ST,SW,22903, ,R,84699
8200,8020992,1821,14,#, ,JEFFERSON PARK,AVE, ,22903, ,R,84700
8201,83631295,1904,27,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,84701
8202,61628269,711,,, ,GILLESPIE,AVE, ,22902, ,R,84702
8203,616616858,601,,, ,LOCUST,AVE, ,22902, ,R,84703
8204,230112822,1412,,, ,RUTLEDGE,AVE, ,22903, ,R,84732
8205,245013008,1450,,, ,RUGBY,AVE, ,22903, ,R,84733
8206,252813092,1424,,, ,RUGBY,AVE, ,22903, ,R,84734
8207,140206606,113,,, ,OLD FIFTH,CIR, ,22903, ,R,84735
8208,140206606,115,,, ,OLD FIFTH,CIR, ,22903, ,R,84736
8209,135011519,1915,,, ,MEADOWBROOK,RD, ,22903, ,R,84737
8210,97332298,112,,, ,ROBERTSON,AVE, ,22903, ,R,84738
8211,97362301,108,,, ,ROBERTSON,AVE, ,22903, ,R,84739
8212,609816708,1201,,,W,MAIN,ST, ,22903, ,R,84740
8213,62458296,608,,, ,GROVE,AVE, ,22902, ,R,84741
8214,63418333,1304,,, ,POPLAR,ST, ,22902, ,R,84742
8215,63468337,605,,, ,ORANGE,ST, ,22902, ,R,84743
8216,64028365,501,,, ,ORANGE,ST, ,22902, ,R,84744
8217,1464219518,162,,, ,BROOKWOOD,DR, ,22902, ,R,84745
8218,1465219532,188,,, ,BROOKWOOD,DR, ,22902, ,R,84746
8219,471115490,705,,, ,LYONS COURT,LN, ,22902, ,R,84747
8220,70868614,1102,,, ,LITTLE HIGH,ST, ,22902, ,R,84748
8221,99511072,1403,A,APT, ,HOLLY,RD, ,22901, ,R,84749
8222,83631295,1904,32,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,84750
8223,83631295,1904,33,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,84751
8224,370014334,975,B,UNIT, ,LOCUST,AVE, ,22901, ,R,84752
8225,72548682,1118,,, ,LITTLE HIGH,ST, ,22902, ,R,84753
8226,76128782,1212,,, ,LITTLE HIGH,ST, ,22902, ,R,84754
8227,78298905,1105,,,E,MARKET,ST, ,22902, ,R,84755
8228,978517255,1516,,,E,MARKET,ST, ,22902, ,R,84756
8229,982817254,1600,,,E,MARKET,ST, ,22902, ,R,84757
8230,271013292,1001,,, ,FERN,CT, ,22901, ,R,84758
8231,271413305,1007,,, ,ASHBY,PL, ,22901, ,R,84759
8232,470915395,416,,, ,13TH,ST,NW,22903, ,R,84760
8233,458515273,905,,, ,ALBEMARLE,ST, ,22903, ,R,84761
8234,495315551,706,,, ,FOREST,ST, ,22903, ,C,84762
8235,117211296,1430,,, ,KENWOOD,LN, ,22901, ,R,84763
8236,326913894,1029,,, ,LOCUST,AVE, ,22901, ,R,84764
8237,326913940,1027,,, ,LOCUST,AVE, ,22901, ,R,84765
8238,357814104,1027,B,UNIT, ,PRESTON,AVE, ,22903, ,R,84766
8239,27327452,1144,B,UNIT, ,ST CLAIR,AVE, ,22901, ,R,84767
8240,32417546,1100,A,APT, ,RIVER,CT, ,22901, ,R,84768
8241,30257493,1112,A,APT, ,RIVER,CT, ,22901, ,R,84769
8242,101222889,207,7,#, ,STRIBLING,AVE, ,22903, ,R,84770
8243,101222889,207,8,#, ,STRIBLING,AVE, ,22903, ,R,84771
8244,257613143,1810,,, ,WINSTON,RD, ,22903, ,R,84772
8245,88251546,112,,, ,THOMAS,DR, ,22903, ,R,84773
8246,49210671,2111,125,APT, ,MICHIE,DR, ,22901, ,R,82032
8247,591216723,126,B,APT, ,13TH,ST,NW,22903, ,R,82033
8248,90111657,103,B,UNIT, ,SUMMIT,ST, ,22903, ,R,82034
8249,64428386,1333,,,E,HIGH,ST, ,22902, ,C,82036
8250,88201822,951,,, ,2ND,ST,SE,22902, ,C,82037
8251,99432503,1030,,, ,CARLTON,AVE, ,22902, ,R,82038
8252,101292679,900,,, ,BELMONT,AVE, ,22902, ,R,82039
8253,1013217271,927,UP,, ,BELMONT,AVE, ,22902, ,R,82040
8254,64718401,1325,,,E,HIGH,ST, ,22902, ,C,82041
8255,1502918391,515,,, ,HANOVER,ST, ,22903, ,R,82042
8256,455815289,415,,, ,14TH,ST,NW,22903, ,R,82043
8257,114624480,816,,, ,PROSPECT,AVE, ,22903, ,R,82044
8258,122975496,716,,, ,STONEHENGE,AVE, ,22902, ,R,82045
8259,1416117403,209,,, ,HUNTLEY,AVE, ,22903, ,R,82046
8260,96212220,107,,, ,BURNET,ST, ,22902, ,R,82047
8261,107903524,800,,, ,MERIDIAN,ST, ,22902, ,R,82048
8262,106613400,811,,, ,BLENHEIM,AVE, ,22902, ,R,82092
8263,382214438,1410,12,#, ,GRADY,AVE, ,22903, ,R,82093
8264,382214438,1410,13,#, ,GRADY,AVE, ,22903, ,R,82094
8265,137147197,124,A,APT, ,LONGWOOD,DR, ,22903, ,R,82095
8266,150611723,2401,37,APT, ,ARLINGTON,BLVD, ,22903, ,R,83716
8267,150611723,2401,48,APT, ,ARLINGTON,BLVD, ,22903, ,R,83717
8268,150611723,2401,49,APT, ,ARLINGTON,BLVD, ,22903, ,R,83718
8269,165911938,2106,24,APT, ,ARLINGTON,BLVD, ,22903, ,R,83719
8270,99962570,719,4,APT, ,RIDGE,ST, ,22902, ,R,83720
8271,7849796,300,42,#, ,4TH,ST,SE,22902, ,R,83721
8272,516815844,750,207,#, ,HARRIS,ST, ,22903, ,C,83722
8273,1467710268,2302,B,APT, ,NORTH BERKSHIRE,RD, ,22901, ,R,83723
8274,116111304,1,101,#, ,MORTON,DR, ,22903, ,C,84029
8275,139128516,402,C24,APT, ,11TH,ST,NE,22902, ,R,84030
8276,139128516,402,C13,APT, ,11TH,ST,NE,22902, ,R,84031
8277,768417160,210,17,UNIT, ,10TH,ST,NE,22902, ,R,84032
8278,726621635,320,B,UNIT,E,MAIN,ST, ,22902, ,R,84033
